title,genre,description,director,cast,keywords,imdb_rating,ott_platform,poster_url,year,language
The Prestige,Mystery Thriller,"Two stage magicians engage in a bitter rivalry that spirals into obsession and tragedy. A mesmerizing tale of sacrifice, illusion, and the price of perfection.",Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine","magic, rivalry, obsession, twist, illusion, competition",8.5,Prime Video,https://image.tmdb.org/t/p/w500/bdN3gXuIZYaJP7ftKK2sU0nPtEA.jpg,2006,English
The Departed,Crime Thriller,"An undercover cop and a mole in the police try to identify each other while infiltrating an Irish gang. Scorsese's intense cat-and-mouse game with stellar ensemble cast.",Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","undercover, crime, thriller, boston, suspense, betrayal",8.5,Netflix,https://image.tmdb.org/t/p/w500/nT97ifVT2J1yMQmeq20Qblg61T.jpg,2006,English
Whiplash,Drama,"A young drummer endures brutal teaching methods from a ruthless instructor at a prestigious music school. Intense exploration of ambition, abuse, and the cost of greatness.",Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist","music, ambition, mentorship, intensity, drumming, pressure",8.5,Prime Video,https://image.tmdb.org/t/p/w500/7fn624j5lj3xTme2SgiLCeuedmO.jpg,2014,English
Django Unchained,Western Action,"A freed slave teams up with a bounty hunter to rescue his wife from a brutal plantation owner. Tarantino's bold reimagining of the Western with style and substance.",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Samuel L. Jackson","western, revenge, slavery, action, stylish, tarantino",8.4,Netflix,https://image.tmdb.org/t/p/w500/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,2012,English
The Social Network,Biography Drama,"Harvard student Mark Zuckerberg creates Facebook and becomes a billionaire while facing lawsuits and betrayals. Sharp dialogue and compelling portrayal of ambition in the digital age.",David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer","facebook, startup, betrayal, ambition, technology, drama",7.8,Netflix,https://image.tmdb.org/t/p/w500/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,2010,English
La La Land,Musical Romance,"A jazz pianist and an aspiring actress fall in love while pursuing their dreams in Los Angeles. A vibrant celebration of ambition, romance, and the bittersweet nature of dreams.",Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt","musical, romance, dreams, jazz, bittersweet, colorful",8.0,Prime Video,https://image.tmdb.org/t/p/w500/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,2016,English
Joker,Psychological Drama,"A failed comedian descends into madness and becomes the criminal known as Joker. Dark character study exploring mental illness, society, and the birth of a villain.",Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy","villain, mentalillness, society, dark, origin, disturbing",8.4,HBO Max,https://image.tmdb.org/t/p/w500/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,2019,English
Parasite,Thriller Drama,"A poor family schemes to become employed by a wealthy family by infiltrating their household. Sharp social commentary wrapped in genre-bending thrills and dark comedy.",Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik","class, thriller, korean, social, darkcomedy, twist",8.5,Hulu,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019,Korean
1917,War Drama,"Two British soldiers receive impossible orders to deliver a message deep in enemy territory. Stunning one-shot cinematography creates immersive WWI experience.",Sam Mendes,"George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott","wwi, war, mission, cinematography, tension, immersive",8.2,Netflix,https://image.tmdb.org/t/p/w500/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,2019,English
The Pursuit of Happyness,Drama,"A struggling salesman takes custody of his son while pursuing a life-changing opportunity. Inspiring true story of perseverance, fatherhood, and never giving up on dreams.",Gabriele Muccino,"Will Smith, Jaden Smith, Thandiwe Newton, Brian Howe","inspirational, fatherhood, perseverance, truestory, emotional, uplifting",8.0,Netflix,https://image.tmdb.org/t/p/w500/k7tkCeiLwHl37pRwzGRGn77dPQL.jpg,2006,English
Her,Sci-Fi Romance,"A lonely writer develops a relationship with an AI operating system. Poignant exploration of love, loneliness, and human connection in the digital age.",Spike Jonze,"Joaquin Phoenix, Scarlett Johansson, Amy Adams, Rooney Mara","ai, romance, loneliness, future, emotional, thoughtful",8.0,HBO Max,https://image.tmdb.org/t/p/w500/eCOtqtfvn7mxGl6nfmq4b1exJRc.jpg,2013,English
Eternal Sunshine of the Spotless Mind,Sci-Fi Romance,"A couple undergoes a procedure to erase each other from their memories. Inventive exploration of love, memory, and the pain of relationships.",Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson, Kirsten Dunst","memory, romance, surreal, mindbending, relationship, emotional",8.3,Prime Video,https://image.tmdb.org/t/p/w/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,2004,English
The Grand Budapest Hotel,Comedy Adventure,"A concierge and his protégé become involved in theft and murder at a famous European hotel. Wes Anderson's whimsical masterpiece with stunning visuals and quirky charm.",Wes Anderson,"Ralph Fiennes, Tony Revolori, Saoirse Ronan, Adrien Brody","comedy, adventure, quirky, colorful, hotel, whimsical",8.1,Disney+,https://image.tmdb.org/t/p/w500/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,2014,English
Groundhog Day,Comedy Fantasy,"A weatherman finds himself living the same day over and over again. Clever comedy exploring repetition, self-improvement, and finding meaning in life.",Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky","timeloop, comedy, romance, repetition, selfdiscovery, fun",8.0,Prime Video,https://image.tmdb.org/t/p/w500/gCgt1WARPZaXnq523ySQEUKinCs.jpg,1993,English
The Truman Show,Sci-Fi Drama,"An insurance salesman discovers his entire life is a TV show. Profound commentary on reality, surveillance, and the search for authentic existence.",Peter Weir,"Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich","reality, tvshow, surveillance, existential, thoughtful, unique",8.2,Prime Video,https://image.tmdb.org/t/p/w500/vuza0WqY239yBXOadKlGwJsZJFE.jpg,1998,English
Arrival,Sci-Fi Drama,"A linguist is recruited to communicate with aliens who have arrived on Earth. Thoughtful meditation on language, time, and human connection.",Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg","aliens, language, time, thoughtful, emotional, intelligent",7.9,Prime Video,https://image.tmdb.org/t/p/w500/x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg,2016,English
Blade Runner 2049,Sci-Fi Thriller,"A blade runner uncovers a secret that could plunge society into chaos. Stunning visuals and philosophical depth in futuristic dystopia.",Denis Villeneuve,"Ryan Gosling, Harrison Ford, Ana de Armas, Jared Leto","scifi, dystopia, android, visual, philosophical, atmospheric",8.0,HBO Max,https://image.tmdb.org/t/p/w500/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,2017,English
Mad Max Fury Road,Action Adventure,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler. Non-stop action masterpiece with incredible stunts and visual storytelling.",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","postapocalyptic, action, chase, wasteland, adrenaline, visual",8.1,HBO Max,https://image.tmdb.org/t/p/w500/hA2ple9q4qnwxp3hKVNhroipsir.jpg,2015,English
Coco,Animation Family,"A young musician embarks on a journey to the Land of the Dead. Heartwarming Pixar film about family, memory, and following your passion.",Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","animation, family, music, mexican, emotional, beautiful",8.4,Disney+,https://image.tmdb.org/t/p/w500/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,2017,English
Toy Story 3,Animation Family,"Andy's toys face an uncertain future when he prepares to leave for college. Emotional conclusion exploring growing up, friendship, and letting go.",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","animation, toys, friendship, emotional, pixar, childhood",8.3,Disney+,https://image.tmdb.org/t/p/w500/w78A9dG6KP4PPiswJhTl9UABMUH.jpg,2010,English
Inside Out,Animation Family,"The emotions inside a young girl's mind struggle with a major life change. Brilliant exploration of feelings, memory, and growing up.",Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader","animation, emotions, family, creative, heartwarming, clever",8.1,Disney+,https://image.tmdb.org/t/p/w500/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,2015,English
WALL-E,Animation Sci-Fi,"In the distant future, a waste-collecting robot embarks on a space journey. Charming love story with environmental message and minimal dialogue.",Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","animation, robot, scifi, romance, environmental, pixar",8.4,Disney+,https://image.tmdb.org/t/p/w500/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,2008,English
Spider-Man Into the Spider-Verse,Animation Superhero,"Teen Miles Morales becomes Spider-Man and meets other Spider-People from different dimensions. Revolutionary animation style and heartfelt storytelling.",Bob Persichetti,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","animation, superhero, multiverse, stylish, comingofage, innovative",8.4,Netflix,https://image.tmdb.org/t/p/w500/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018,English
The Lion King,Animation Family,"A lion prince flees his kingdom only to learn the true meaning of responsibility. Disney's epic tale of destiny, loss, and the circle of life.",Roger Allers,"Matthew Broderick, James Earl Jones, Jeremy Irons, Nathan Lane","animation, disney, comingofage, musical, family, classic",8.5,Disney+,https://image.tmdb.org/t/p/w500/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,1994,English
Finding Nemo,Animation Family,"A clownfish searches across the ocean for his captured son. Heartwarming adventure about parenthood, courage, and believing in yourself.",Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","animation, ocean, adventure, family, pixar, heartwarming",8.2,Disney+,https://image.tmdb.org/t/p/w500/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,2003,English
The Avengers,Superhero Action,"Earth's mightiest heroes must learn to work together to stop an alien invasion. Epic ensemble superhero film with humor and spectacular action.",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","superhero, marvel, teamup, action, aliens, ensemble",8.0,Disney+,https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,2012,English
Black Panther,Superhero Action,"T'Challa returns home to Wakanda to take his place as king and face a challenger. Groundbreaking superhero film celebrating African culture.",Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","superhero, marvel, wakanda, culture, action, empowering",7.3,Disney+,https://image.tmdb.org/t/p/w500/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018,English
Avengers Endgame,Superhero Action,"The Avengers assemble one final time to undo Thanos' actions and restore the universe. Epic conclusion to Marvel's Infinity Saga.",Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","superhero, marvel, timetravel, epic, emotional, finale",8.4,Disney+,https://image.tmdb.org/t/p/w500/or06FN3Dka5tukK1e9sl16pB3iy.jpg,2019,English
The Notebook,Romance Drama,"A poor yet passionate young man falls in love with a rich young woman. Sweeping romance spanning decades exploring enduring love and memory.",Nick Cassavetes,"Ryan Gosling, Rachel McAdams, James Garner, Gena Rowlands","romance, drama, love, emotional, tearjerker, nostalgic",7.8,Netflix,https://image.tmdb.org/t/p/w500/qom1SZSENdmHFNZBXbtJAU0WTlC.jpg,2004,English
Titanic,Romance Drama,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic. Epic romance with historical tragedy.",James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates","romance, tragedy, ship, epic, historical, iconic",7.9,Prime Video,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,1997,English
Pride and Prejudice,Romance Drama,"Sparks fly when spirited Elizabeth Bennet meets the proud Mr. Darcy. Beautiful adaptation of Austen's classic examining love, class, and first impressions.",Joe Wright,"Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland","romance, period, classic, british, elegant, literary",7.8,Netflix,https://image.tmdb.org/t/p/w500/sGjIvtVvTlWnia2zfJfHz81pZ9Q.jpg,2005,English
Before Sunrise,Romance Drama,"A young man and woman meet on a train and spend one night walking around Vienna. Intimate dialogue-driven romance about connection and fleeting moments.",Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl","romance, dialogue, walk, connection, intimate, european",8.1,HBO Max,https://image.tmdb.org/t/p/w500/8lbRNzXoCZq3CFkGhspNuXpIr0H.jpg,1995,English
500 Days of Summer,Romance Comedy,"An offbeat romantic comedy about a greeting card writer's reflections on his relationship. Non-linear exploration of love, expectations, and reality.",Marc Webb,"Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz","romance, nonlinear, modern, quirky, bittersweet, realistic",7.6,Netflix,https://image.tmdb.org/t/p/w500/f9mbM0YMLpYemcWx6o2WeiYQLDP.jpg,2009,English
Five Feet Apart,Romance Drama,"Two teens with cystic fibrosis fall in love but must stay six feet apart. Heartbreaking modern romance about love, illness, and living fully.",Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moises Arias, Kimberly Hebert Gregory","romance, illness, youngadult, emotional, tearjerker, modern",7.2,HBO Max,https://image.tmdb.org/t/p/w500/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,2019,English
Get Out,Horror Thriller,"A Black man uncovers disturbing secrets when he meets his white girlfriend's family. Smart social horror that's both terrifying and thought-provoking.",Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener","horror, socialthriller, suspense, race, twist, intelligent",7.7,Prime Video,https://image.tmdb.org/t/p/w500/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg,2017,English
A Quiet Place,Horror Thriller,"A family must live in silence while hiding from creatures that hunt by sound. Innovative horror with minimal dialogue and maximum tension.",John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe","horror, survival, silence, family, suspense, creatures",7.5,Prime Video,https://image.tmdb.org/t/p/w500/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,2018,English
The Conjuring,Horror Thriller,"Paranormal investigators help a family terrorized by a dark presence in their farmhouse. Classic haunted house horror with genuine scares.",James Wan,"Patrick Wilson, Vera Farmiga, Lili Taylor, Ron Livingston","horror, haunted, supernatural, scary, basedontruth, investigation",7.5,Netflix,https://image.tmdb.org/t/p/w500/wVYREutTvI2tmxr6ujrHT704wGF.jpg,2013,English
Hereditary,Horror Drama,"A family is haunted by tragic loss and sinister secrets. Disturbing psychological horror that stays with you long after watching.",Ari Aster,"Toni Collette, Alex Wolff, Milly Shapiro, Gabriel Byrne","horror, family, supernatural, disturbing, psychological, intense",7.3,Prime Video,https://image.tmdb.org/t/p/w500/p5pjHSLASwhFYgeqg2xKA5N5Ief.jpg,2018,English
The Shining,Horror Thriller,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence. Kubrick's masterpiece of psychological horror.",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers","horror, psychological, haunted, isolation, madness, classic",8.4,HBO Max,https://image.tmdb.org/t/p/w500/xazWoLealQwEgqZ89MLZklLZD3k.jpg,1980,English
